주소,Latitude,Longitude,이름,설명,종류
여의대방로44길 9,37.5093826,126.9255822,폐형광등(폐건전지),성원아파트 102동,폐형광등(폐건전지)
여의대방로44길 9,37.5093826,126.9255822,폐형광등(폐건전지),성원아파트 103동,폐형광등(폐건전지)
여의대방로44길 10,37.5072943,126.9247119,폐형광등(폐건전지),대림아파트 101동,폐형광등(폐건전지)
여의대방로44길 10,37.5072943,126.9247119,폐형광등(폐건전지),대림아파트 102동,폐형광등(폐건전지)
여의대방로44길 10,37.5072943,126.9247119,폐형광등(폐건전지),대림아파트 103동,폐형광등(폐건전지)
여의대방로44길 10,37.5072943,126.9247119,폐형광등(폐건전지),대림아파트 104동,폐형광등(폐건전지)
여의대방로44길 10,37.5072943,126.9247119,폐형광등(폐건전지),대림아파트 106동,폐형광등(폐건전지)
여의대방로44길 10,37.5072943,126.9247119,폐형광등(폐건전지),대림아파트 107동,폐형광등(폐건전지)
여의대방로44길 10,37.5072943,126.9247119,폐형광등(폐건전지),대림아파트 108동,폐형광등(폐건전지)
여의대방로44길 10,37.5072943,126.9247119,폐형광등(폐건전지),대림아파트 109동,폐형광등(폐건전지)
여의대방로44길 20,37.5081284,126.9263268,폐형광등(폐건전지),대방동주민센터,폐형광등(폐건전지)
노량진로 40,37.5126942,126.930775,폐형광등(폐건전지),현대아파트(104동 앞),폐형광등(폐건전지)
여의대방로44길 47,37.5097245,126.9300449,폐형광등(폐건전지),대방주공1차(아) 101동 앞,폐형광등(폐건전지)
여의대방로44길 47,37.5097245,126.9300449,폐형광등(폐건전지),대방주공1차(아) 104동,폐형광등(폐건전지)
여의대방로44길 47,37.5097245,126.9300449,폐형광등(폐건전지),대방주공1차(아) 105동,폐형광등(폐건전지)
여의대방로62길 15,37.5141567,126.9285363,폐형광등(폐건전지),한국개나리(아)관리실 앞,폐형광등(폐건전지)
여의대방로62길 23,37.5142134,126.9297027,폐형광등(폐건전지),우정아파트 102동 앞,폐형광등(폐건전지)
알마타길 58,37.5107705,126.9313074,폐형광등(폐건전지),"대방2차 현대(아) 201동,205동  앞",폐형광등(폐건전지)
