주소,Latitude,Longitude,이름,설명,종류
상도로서울공업고등학교(ID:20-144),37.4990513,126.9422048,재활용,버스 정류장 옆,쓰레기통
상도로16번지,37.4997155,126.9222525,재활용,가로변,쓰레기통
상도로16번지,37.4997155,126.9222525,일반쓰레기,가로변,쓰레기통
여의대방로 강남중학교(ID: 20-006),37.5022844,126.9223505,일반쓰레기,버스 중앙차로,쓰레기통
여의대방로 강남중학교(ID: 20-006),37.5022844,126.9223505,재활용,버스 중앙차로,쓰레기통
여의대방로22번지 우성아파트(ID:20-927),37.5006729,126.9187206,재활용,마을버스 정류장 옆,쓰레기통
여의대방로22번지 우성아파트(ID:20-927),37.5006729,126.9187206,일반쓰레기,마을버스 정류장 옆,쓰레기통
여의대방로교수아파트(ID:20-928),37.496332,126.913255,일반쓰레기,버스정류장 옆,쓰레기통
여의대방로교수아파트(ID:20-928),37.496332,126.913255,재활용,버스정류장 옆,쓰레기통
신대방2길2-5(ID:20-207),37.4877768,126.9128525,일반쓰레기,마을버스 정류장 옆,쓰레기통
신대방2길2-5(ID:20-207),37.4877768,126.9128525,재활용,마을버스 정류장 옆,쓰레기통
알마타길6번지(ID:20-107),37.5102339,126.9251477,재활용,가로변,쓰레기통
알마타길6번지(ID:20-107),37.5102339,126.9251477,일반쓰레기,가로변,쓰레기통
여의대방로동작상떼빌아파트(ID:20-001),37.4882483,126.9072543,일반쓰레기,버스 중앙차로,쓰레기통
등용로123번지(대방할인마트 앞),37.5122033,126.9317414,일반쓰레기,가로변,쓰레기통
등용로123번지(대방할인마트 앞),37.5122033,126.9317414,재활용,가로변,쓰레기통
노량진로 현대아파트(ID:20-007),null,null,일반쓰레기,버스중앙차로,쓰레기통
노량진로 현대아파트유한양행(ID:20-008),37.513195,126.932591,일반쓰레기,버스중앙차로,쓰레기통
등용로40번지(ID:20-593),37.505699,126.9341681,일반쓰레기,마을버스 정류장 옆,쓰레기통
서달로15길 8-12(흑석역4번출구),37.5089688,126.9628751,재활용,지하철 9호선 옆,쓰레기통
서달로15길 8-12(흑석역4번출구),37.5089688,126.9628751,일반쓰레기,지하철 9호선 옆,쓰레기통
현충로124번지(조선일보뉴지엄),37.506384,126.9671558,일반쓰레기,가로변,쓰레기통
현충로2길흑석동 효사정 앞(ID:20-123),37.511554,126.960711,일반쓰레기,버스 정류장 옆,쓰레기통
